Date,Open,High,Low,Close,Adj Close,Volume
2022-07-26,338.579987,343.309998,335.730011,339.410004,339.410004,1048200
2022-07-27,344.070007,357.209991,343.170013,353.540009,353.540009,1124600
2022-07-28,354.239990,363.399994,353.010010,362.640015,362.640015,821000
2022-07-29,363.440002,369.250000,360.649994,367.500000,367.500000,980500
2022-08-01,364.170013,371.250000,361.410004,370.010010,370.010010,1022800
2022-08-02,367.459991,371.809998,366.220001,368.359985,368.359985,1405300
2022-08-03,359.000000,372.410004,359.000000,370.839996,370.839996,1175700
2022-08-04,371.570007,372.470001,367.670013,372.290009,372.290009,756600
2022-08-05,366.089996,375.690002,365.500000,374.290009,374.290009,660500
2022-08-08,375.000000,378.470001,369.760010,372.070007,372.070007,725200
2022-08-09,369.190002,375.070007,368.980011,372.609985,372.609985,820200
2022-08-10,380.190002,381.700012,373.350006,375.709991,375.709991,1179000
2022-08-11,380.079987,380.890015,373.600006,377.010010,377.010010,910100
2022-08-12,377.959991,386.000000,376.709991,385.440002,385.440002,931100
2022-08-15,385.100006,391.170013,383.910004,390.450012,390.450012,654700
2022-08-16,385.510010,389.489990,382.630005,385.670013,385.670013,697000
2022-08-17,384.260010,384.760010,378.410004,381.000000,381.000000,1475500
2022-08-18,384.350006,391.000000,371.859985,373.320007,373.320007,1923400
2022-08-19,368.850006,368.850006,361.170013,363.000000,363.000000,1524100
2022-08-22,358.320007,361.600006,356.070007,358.100006,358.100006,1296800
2022-08-23,354.429993,361.239990,354.250000,359.000000,359.000000,1016600
2022-08-24,357.779999,360.619995,355.380005,358.750000,358.750000,695000
2022-08-25,359.829987,363.359985,357.559998,363.260010,363.260010,777700
2022-08-26,362.769989,363.540009,352.950012,355.000000,355.000000,1219600
2022-08-29,350.540009,354.489990,347.339996,347.489990,347.489990,1096200
2022-08-30,350.529999,351.390015,341.619995,346.000000,346.000000,1037200
2022-08-31,348.959991,353.299988,344.429993,346.019989,346.019989,1653700
2022-09-01,341.260010,342.529999,324.630005,332.489990,332.489990,1619600
2022-09-02,334.140015,338.079987,329.450012,330.559998,330.559998,1073900
2022-09-06,330.730011,331.660004,323.970001,326.829987,326.829987,1230300
2022-09-07,328.549988,333.510010,325.480011,332.040009,332.040009,915900
2022-09-08,330.149994,334.480011,328.089996,333.760010,333.760010,854900
2022-09-09,335.950012,342.309998,334.269989,340.179993,340.179993,839500
2022-09-12,341.929993,342.459991,337.390015,339.559998,339.559998,830100
2022-09-13,329.670013,331.279999,322.640015,323.609985,323.609985,1282500
2022-09-14,327.089996,328.000000,319.630005,323.369995,323.369995,1376800
2022-09-15,321.470001,323.350006,314.059998,315.940002,315.940002,1500000
2022-09-16,310.790009,314.489990,308.070007,314.209991,314.209991,2322200
